Overall Qual,Overall Cond,1st Flr SF,2nd Flr SF,Gr Liv Area,Half Bath,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Misc Val,Year Built Year Remod/Add,Mas Vnr Area,Total Bsmt SF,Bsmt Full Bath,Garage Area,bed_full_bath
5,7,986,537,1523,0,1,7,1,0,3907745,0.0,1067.0,1.0,295.0,6.0
7,5,864,864,1728,1,1,7,0,0,4016016,0.0,864.0,0.0,572.0,6.0
8,5,1239,0,1239,1,1,4,1,0,3980025,0.0,1230.0,1.0,477.0,1.0
5,5,1151,804,1955,0,1,7,0,0,3833764,162.0,1151.0,0.0,356.0,8.0
7,7,860,704,1564,1,1,7,1,0,3784950,0.0,704.0,0.0,234.0,3.0
4,6,1204,0,1204,0,1,6,0,0,3818116,0.0,416.0,0.0,312.0,3.0
6,6,1329,0,1329,1,1,6,0,12500,3833764,108.0,1329.0,0.0,312.0,3.0
5,6,879,0,879,0,1,5,0,0,3900625,0.0,864.0,0.0,440.0,3.0
4,4,841,0,841,0,1,4,0,0,3802500,0.0,721.0,0.0,294.0,2.0
6,6,900,412,1312,1,1,6,0,0,3796650,0.0,784.0,0.0,649.0,3.0
6,5,1134,924,2058,1,1,8,1,0,3738150,0.0,735.0,0.0,396.0,3.0
8,5,1360,0,1360,0,1,4,1,0,3936256,0.0,1220.0,1.0,565.0,1.0
8,5,1786,0,1786,0,1,6,1,0,4010006,240.0,1778.0,1.0,715.0,6.0
6,5,1097,896,1993,1,1,8,1,0,3884841,252.0,825.0,0.0,495.0,8.0
4,5,986,376,1362,0,1,7,0,0,3744000,0.0,951.0,0.0,280.0,8.0
7,5,1112,438,1550,0,1,7,0,0,4026042,100.0,1092.0,1.0,438.0,4.0
5,5,1696,0,1696,1,1,8,1,0,3849444,0.0,1140.0,0.0,349.0,3.0
4,5,546,546,1092,1,1,5,0,0,3880900,0.0,546.0,0.0,286.0,3.0
9,5,1752,0,1752,0,1,6,1,0,4020025,412.0,1752.0,1.0,576.0,4.0
9,5,1102,1371,2473,1,1,11,1,0,4024036,184.0,1094.0,0.0,675.0,8.0
9,5,1800,0,1800,0,1,7,0,0,4028049,0.0,1800.0,0.0,702.0,4.0
7,5,1108,1089,2197,1,1,9,1,0,3974042,320.0,1080.0,1.0,783.0,8.0
5,6,854,0,1382,1,1,7,0,0,3784950,0.0,720.0,0.0,660.0,2.0
7,5,847,886,1733,1,1,7,1,0,4016016,0.0,847.0,0.0,433.0,6.0
7,5,1402,0,1402,0,1,7,0,0,4032064,0.0,1402.0,0.0,625.0,6.0
5,6,887,0,887,0,1,5,0,0,3936256,0.0,864.0,0.0,288.0,3.0
5,5,1051,0,1051,0,1,6,0,0,3873024,0.0,1051.0,1.0,504.0,3.0
6,8,755,755,1510,0,1,6,0,0,3744000,0.0,755.0,0.0,216.0,3.0
5,5,1656,0,1656,0,2,8,0,0,3892729,564.0,1656.0,0.0,506.0,8.0
6,5,958,0,958,0,1,5,1,0,3904576,0.0,1078.0,0.0,440.0,4.0
8,5,3228,0,3228,0,1,10,1,0,3970056,0.0,3200.0,1.0,546.0,12.0
5,7,1040,0,1040,1,1,5,0,0,3873024,0.0,1040.0,1.0,686.0,3.0
5,6,661,589,1250,0,1,8,1,0,3825730,0.0,661.0,0.0,552.0,6.0
6,7,1140,728,1868,1,1,7,1,0,3973952,74.0,585.0,0.0,477.0,9.0
10,5,1632,1158,2790,1,1,10,1,0,4022030,468.0,1620.0,1.0,1150.0,8.0
6,6,1445,689,2134,0,1,10,0,0,3820504,0.0,844.0,0.0,441.0,10.0
5,8,948,980,1928,0,2,10,0,0,3822420,0.0,686.0,0.0,0.0,10.0
7,5,1022,1038,2060,1,1,8,1,0,3996001,298.0,992.0,1.0,390.0,6.0
6,8,861,517,1378,0,1,6,0,0,3866130,0.0,901.0,0.0,162.0,3.0
4,4,1622,0,1622,0,1,7,1,0,3872975,149.0,1249.0,1.0,1356.0,3.0
8,5,955,925,1880,1,1,8,1,0,4028049,0.0,955.0,1.0,880.0,6.0
8,5,1088,0,1088,1,1,5,0,0,3944196,0.0,1074.0,0.0,461.0,2.0
5,5,1040,0,1040,0,1,6,0,0,3837681,0.0,1040.0,0.0,286.0,3.0
6,7,900,602,1502,1,1,7,2,0,3838308,0.0,602.0,0.0,180.0,3.0
6,3,483,504,987,1,1,5,0,0,3884841,604.0,483.0,0.0,264.0,2.0
6,5,1095,0,1095,0,1,6,0,0,3833764,105.0,588.0,1.0,264.0,2.0
7,5,970,739,1709,0,1,7,0,0,4016016,50.0,970.0,0.0,380.0,6.0
6,5,844,887,1731,1,1,7,0,3000,3970056,0.0,836.0,1.0,462.0,6.0
4,9,960,0,960,0,1,3,0,0,3931965,0.0,648.0,1.0,364.0,0.0
6,6,811,741,1552,1,1,6,1,0,3900625,0.0,713.0,1.0,434.0,6.0
8,5,1795,0,1795,0,1,7,1,0,4026042,428.0,1795.0,0.0,895.0,4.0
5,5,624,650,1274,1,1,6,0,0,3964081,0.0,624.0,0.0,576.0,3.0
6,6,848,348,1196,1,1,6,2,0,3783000,0.0,572.0,0.0,576.0,3.0
4,9,704,0,704,0,1,4,0,0,3893946,0.0,560.0,0.0,220.0,2.0
5,6,972,0,972,0,1,5,0,0,3822025,0.0,972.0,0.0,305.0,3.0
6,5,912,546,1458,0,1,6,1,0,3798600,0.0,912.0,0.0,330.0,3.0
6,7,1008,0,1008,0,1,5,0,0,3853369,332.0,1008.0,0.0,430.0,2.0
9,5,1828,0,1828,0,1,9,1,0,4028049,452.0,1822.0,0.0,774.0,6.0
3,2,1013,0,1526,0,1,6,0,0,3795530,0.0,1013.0,0.0,0.0,2.0
6,9,786,390,1176,0,1,4,0,0,3874000,0.0,698.0,0.0,624.0,2.0
5,8,1057,0,1057,0,1,6,0,0,3908045,164.0,1057.0,0.0,288.0,3.0
8,6,2113,0,2113,1,1,7,1,0,3980025,660.0,2109.0,1.0,839.0,4.0
5,7,1387,0,1387,0,1,6,1,0,3884825,0.0,943.0,1.0,300.0,3.0
9,5,1722,1036,2758,1,1,9,1,0,4022030,365.0,1704.0,0.0,814.0,8.0
3,4,840,0,840,0,1,5,0,0,3744000,0.0,798.0,0.0,250.0,2.0
5,5,848,672,1520,0,1,6,0,0,3864000,0.0,793.0,0.0,281.0,3.0
8,5,1542,0,1542,0,1,6,1,0,4028049,164.0,1542.0,1.0,852.0,6.0
5,4,910,475,1385,0,1,6,0,0,3810304,0.0,910.0,0.0,720.0,8.0
5,5,936,0,936,0,1,6,1,0,3849444,0.0,896.0,1.0,288.0,3.0
5,4,824,464,1288,0,1,6,0,0,3784950,0.0,824.0,0.0,240.0,4.0
5,6,1128,0,1128,0,1,6,0,0,3853369,148.0,1120.0,1.0,525.0,6.0
8,5,774,1194,1968,1,1,8,1,0,4038090,84.0,774.0,0.0,680.0,8.0
6,5,1246,0,1246,0,1,6,2,0,3857296,0.0,1246.0,1.0,441.0,3.0
7,6,960,780,1740,1,1,6,2,0,3848960,0.0,800.0,0.0,240.0,3.0
5,6,925,0,925,0,1,5,0,0,3853369,0.0,925.0,1.0,484.0,2.0
7,5,774,656,1430,1,1,8,1,0,4000000,0.0,384.0,0.0,400.0,6.0
8,9,930,636,1566,0,1,7,0,0,3805700,0.0,930.0,0.0,288.0,6.0
5,5,950,0,950,0,1,5,0,0,3814209,0.0,984.0,0.0,400.0,2.0
5,6,1144,0,1144,0,1,6,1,0,3837681,128.0,1144.0,1.0,796.0,3.0
5,5,1114,0,1114,0,1,5,0,0,3845521,0.0,1114.0,1.0,451.0,3.0
7,6,2223,0,2223,0,1,8,2,0,3892729,1115.0,2223.0,1.0,516.0,6.0
5,7,581,530,1111,0,1,6,0,0,3832320,0.0,530.0,0.0,288.0,3.0
5,5,960,0,960,0,1,5,0,4500,3833764,0.0,960.0,0.0,624.0,3.0
6,5,932,701,1633,1,1,7,1,0,3992004,0.0,932.0,0.0,460.0,6.0
6,6,929,929,2229,0,1,8,0,0,3728400,0.0,755.0,0.0,0.0,5.0
6,7,984,0,984,0,1,4,0,0,3818116,0.0,936.0,1.0,280.0,2.0
6,6,1686,0,1686,0,1,7,1,0,3920400,157.0,1686.0,1.0,612.0,6.0
7,5,1614,0,1614,0,1,7,1,0,4020025,140.0,1614.0,0.0,576.0,6.0
5,8,864,0,864,0,1,5,0,0,3888784,0.0,864.0,0.0,297.0,3.0
7,5,1740,0,1740,0,1,8,0,0,4024036,206.0,1721.0,0.0,874.0,8.0
5,6,1721,0,1721,1,1,7,1,0,3922224,0.0,1461.0,0.0,440.0,6.0
6,5,1034,0,1034,0,1,6,0,0,3904576,335.0,1012.0,1.0,888.0,3.0
6,5,1318,584,1902,0,2,8,0,0,3912484,0.0,0.0,0.0,539.0,8.0
6,5,1097,0,1097,0,1,6,0,0,3938240,0.0,1040.0,0.0,480.0,6.0
9,5,1117,1089,2206,1,1,10,1,0,4022030,525.0,1090.0,0.0,670.0,8.0
6,5,1117,0,1117,0,1,6,1,0,3904576,0.0,1029.0,1.0,672.0,3.0
4,6,1246,1044,2290,0,2,11,0,0,3675750,0.0,777.0,0.0,560.0,8.0
6,5,483,465,948,1,1,5,0,0,3888784,504.0,483.0,0.0,264.0,2.0
6,5,600,319,919,0,1,5,0,0,3783000,0.0,600.0,0.0,231.0,3.0
6,6,1152,0,1152,1,1,7,0,0,3873024,41.0,912.0,1.0,412.0,3.0
9,5,1627,707,2334,1,1,10,1,0,4038090,162.0,1590.0,0.0,751.0,6.0
5,5,1264,0,1264,0,1,6,2,0,3841600,324.0,1268.0,1.0,461.0,3.0
5,5,1224,0,1224,2,2,6,2,0,3916441,275.0,1086.0,2.0,528.0,0.0
6,6,697,672,1369,0,1,6,0,0,3753750,0.0,672.0,1.0,300.0,6.0
5,6,894,0,894,0,1,5,0,0,3904576,0.0,894.0,1.0,308.0,3.0
6,5,769,804,1573,1,1,5,0,0,4000000,216.0,756.0,0.0,440.0,6.0
8,5,1687,563,2250,1,1,7,1,0,4008004,232.0,1671.0,1.0,756.0,6.0
6,5,819,695,1514,1,1,7,1,0,4000000,0.0,794.0,1.0,394.0,6.0
6,5,672,546,1218,1,1,7,0,0,3884841,236.0,672.0,0.0,0.0,3.0
5,4,811,576,1387,0,2,7,0,0,3818116,0.0,811.0,0.0,256.0,6.0
4,4,649,668,1317,0,1,6,0,0,3744000,0.0,649.0,0.0,250.0,3.0
6,7,773,582,1355,1,1,7,0,0,3839484,0.0,684.0,0.0,0.0,3.0
4,7,952,0,952,0,1,5,0,0,3697200,0.0,756.0,0.0,330.0,3.0
6,7,1113,0,1113,1,1,6,1,0,3904576,174.0,1143.0,1.0,504.0,3.0
5,6,778,0,778,0,1,4,1,0,3792700,0.0,740.0,0.0,924.0,2.0
6,7,944,545,1489,0,1,7,1,0,3783000,0.0,778.0,0.0,240.0,6.0
9,5,1698,0,1698,0,1,8,1,0,4030056,340.0,1698.0,1.0,768.0,6.0
7,8,1262,1005,2267,1,1,7,2,0,3835260,0.0,1005.0,1.0,498.0,3.0
5,5,902,0,902,0,1,5,0,0,3932289,0.0,864.0,1.0,484.0,2.0
6,5,738,757,1495,1,1,7,1,0,4024036,0.0,738.0,0.0,440.0,6.0
5,5,1384,0,1384,0,1,7,0,0,3986012,0.0,1348.0,1.0,404.0,6.0
6,7,851,585,1436,0,1,7,1,0,3745950,0.0,585.0,0.0,228.0,3.0
6,5,952,684,1636,1,1,7,1,0,3994002,0.0,952.0,1.0,440.0,6.0
6,5,1158,0,1158,1,1,5,0,0,4016016,0.0,1158.0,1.0,576.0,3.0
8,5,1646,0,1646,0,1,6,1,0,4026042,274.0,1638.0,0.0,870.0,6.0
5,7,981,787,1768,1,1,7,2,0,3777150,252.0,731.0,1.0,240.0,3.0
6,7,1565,0,1565,0,1,7,2,460,3930000,0.0,1187.0,1.0,299.0,6.0
7,7,880,888,1768,1,1,6,2,0,3770580,0.0,880.0,0.0,320.0,2.0
5,6,1060,336,1396,0,2,8,0,0,3806401,0.0,660.0,0.0,0.0,8.0
6,5,1096,0,1096,0,1,6,1,0,3912484,39.0,1008.0,1.0,484.0,3.0
7,5,1223,1089,2312,1,1,8,1,0,3996001,210.0,1177.0,1.0,658.0,8.0
8,5,1337,0,1337,0,1,5,1,0,3972049,0.0,1337.0,1.0,462.0,4.0
7,5,551,551,1102,1,1,4,0,0,4016016,0.0,551.0,0.0,480.0,4.0
8,5,1128,903,2031,1,1,7,1,0,4008004,0.0,1128.0,1.0,577.0,6.0
2,5,438,0,438,0,1,3,0,0,3744000,0.0,290.0,0.0,246.0,1.0
5,5,1033,0,1033,0,1,6,0,0,3904576,222.0,456.0,0.0,504.0,3.0
7,5,1129,1198,2327,1,1,9,1,0,4012009,0.0,1129.0,0.0,596.0,8.0
7,5,1187,0,1187,0,1,6,0,0,3970056,52.0,1168.0,0.0,420.0,6.0
6,6,816,524,1340,0,1,6,0,0,3792750,0.0,780.0,1.0,440.0,3.0
4,5,1152,0,1152,0,2,6,0,0,3822025,0.0,0.0,0.0,0.0,4.0
6,8,1567,0,1567,0,1,5,2,0,3947728,210.0,1562.0,1.0,542.0,4.0
7,9,832,650,1482,0,1,7,0,0,3816960,0.0,650.0,0.0,324.0,3.0
7,5,1689,0,1689,0,1,7,0,0,4026042,0.0,1689.0,0.0,433.0,6.0
5,5,1424,0,1424,1,1,7,0,0,3918310,0.0,1100.0,1.0,828.0,3.0
5,7,816,0,816,0,1,4,0,0,3932289,0.0,816.0,0.0,264.0,2.0
7,8,1424,0,1424,0,1,7,1,0,3745950,174.0,1228.0,0.0,312.0,4.0
7,9,725,754,1479,1,1,7,0,0,3951888,138.0,725.0,1.0,484.0,4.0
5,5,1025,0,1025,0,1,6,0,0,3849444,0.0,1025.0,1.0,0.0,3.0
6,6,1442,0,1442,0,1,6,1,0,3880900,571.0,1442.0,0.0,615.0,4.0
8,5,1454,482,1936,1,1,7,1,0,4000000,40.0,1406.0,0.0,504.0,6.0
7,5,1070,869,1939,1,1,8,1,0,3992004,227.0,1054.0,0.0,555.0,6.0
6,5,738,738,1476,1,1,7,0,0,4020025,0.0,738.0,1.0,540.0,6.0
5,6,898,0,898,0,1,6,0,0,3873024,0.0,833.0,1.0,326.0,3.0
8,5,1460,0,1460,0,1,6,1,0,4026042,0.0,1460.0,0.0,480.0,6.0
6,5,1034,0,1034,0,1,5,1,0,3912484,23.0,456.0,0.0,504.0,3.0
5,6,1174,0,1174,0,1,5,0,0,3912484,180.0,864.0,1.0,528.0,3.0
7,5,530,550,1080,1,1,4,0,0,4012009,0.0,530.0,0.0,496.0,4.0
6,6,780,596,1376,0,1,7,1,0,3777150,0.0,780.0,0.0,198.0,6.0
5,6,840,727,1567,1,1,6,2,0,3783000,0.0,840.0,1.0,440.0,2.0
5,9,751,783,1534,1,1,6,0,0,3788105,0.0,736.0,0.0,0.0,3.0
8,5,1616,0,1616,0,1,5,1,0,3982020,0.0,1595.0,1.0,608.0,4.0
5,5,1058,493,1551,0,1,6,0,0,3779100,0.0,1058.0,1.0,240.0,6.0
5,5,960,0,960,0,1,5,0,0,3822025,0.0,960.0,1.0,330.0,2.0
7,5,1302,0,1302,0,1,6,0,0,4028049,0.0,1302.0,0.0,436.0,6.0
5,5,816,0,816,0,1,4,0,0,3753750,0.0,816.0,0.0,210.0,2.0
7,5,1502,0,1502,1,1,5,1,0,3992004,239.0,1502.0,1.0,286.0,1.0
6,5,1133,0,1133,0,1,7,0,0,4032064,0.0,192.0,1.0,308.0,3.0
9,5,1671,1407,3078,1,1,9,1,0,3992004,422.0,1408.0,1.0,806.0,8.0
6,5,936,785,1721,1,1,7,0,0,3976036,105.0,928.0,0.0,471.0,6.0
4,4,981,779,1760,1,1,7,1,0,3724500,0.0,1077.0,0.0,648.0,4.0
6,8,1436,884,2320,1,1,9,1,0,3893890,0.0,1028.0,1.0,180.0,6.0
7,5,1146,1340,2486,1,1,10,1,0,4014012,94.0,1122.0,1.0,452.0,15.0
5,7,1246,0,1246,1,1,6,0,0,3906246,0.0,1246.0,1.0,305.0,3.0
6,7,1444,700,2144,0,1,7,2,500,3927748,472.0,1444.0,0.0,389.0,8.0
5,5,799,351,1150,0,1,6,2,0,3786900,0.0,799.0,0.0,215.0,3.0
8,5,1600,0,1600,0,1,7,1,0,4028049,640.0,1566.0,0.0,890.0,6.0
4,6,1230,525,1755,0,1,7,1,0,3865790,0.0,930.0,0.0,231.0,8.0
8,5,1800,0,1800,0,1,7,1,0,4008004,630.0,1800.0,1.0,765.0,6.0
7,5,600,600,1200,1,1,4,0,0,4018020,0.0,600.0,0.0,480.0,4.0
5,5,765,600,1365,1,1,6,0,0,3884841,376.0,765.0,1.0,440.0,2.0
6,5,835,861,1696,1,1,7,0,0,4012009,0.0,835.0,1.0,542.0,6.0
7,5,945,864,1809,1,1,8,0,0,4022030,0.0,945.0,0.0,638.0,6.0
8,5,2234,0,2234,1,1,7,1,0,4024036,945.0,2220.0,1.0,724.0,1.0
6,5,886,794,1680,1,1,7,0,0,3974042,120.0,886.0,0.0,474.0,6.0
6,8,976,1111,2087,1,1,9,0,0,3945762,157.0,832.0,0.0,444.0,10.0
8,5,1513,0,1513,0,1,5,1,0,3998000,260.0,1462.0,1.0,521.0,4.0
5,6,1107,0,1107,0,1,5,0,0,3920231,0.0,949.0,1.0,308.0,3.0
5,7,827,0,827,0,1,5,1,0,3923685,0.0,0.0,0.0,392.0,2.0
6,6,742,742,1484,0,1,9,1,0,3829914,0.0,742.0,0.0,0.0,6.0
5,5,764,0,764,0,1,4,0,0,3857700,0.0,680.0,0.0,504.0,2.0
9,5,1792,0,1792,0,1,6,1,0,4014012,562.0,1792.0,1.0,874.0,4.0
8,5,1515,1134,2649,1,1,10,1,0,4006002,1110.0,1479.0,1.0,746.0,8.0
6,5,808,785,1593,1,1,7,1,0,3970056,0.0,808.0,0.0,389.0,6.0
4,5,1181,0,1181,0,1,6,0,0,3888784,0.0,1138.0,1.0,588.0,6.0
8,5,1987,0,1987,0,1,7,1,0,3976036,554.0,1986.0,1.0,691.0,4.0
6,6,647,595,1242,1,1,6,1,0,3773250,0.0,583.0,0.0,180.0,3.0
6,7,976,0,976,0,1,4,1,0,3943872,203.0,976.0,1.0,504.0,2.0
5,3,969,245,1214,0,1,6,0,0,3706950,0.0,969.0,0.0,216.0,2.0
5,6,864,0,864,0,1,5,0,0,3849444,0.0,864.0,0.0,336.0,3.0
6,5,1166,0,1639,0,1,6,0,0,3775200,0.0,1064.0,0.0,240.0,3.0
9,5,1736,0,1736,0,1,7,1,0,4032064,302.0,1736.0,0.0,834.0,6.0
5,5,1535,0,1535,0,2,8,0,0,3916441,0.0,0.0,0.0,400.0,8.0
6,8,800,832,1632,1,1,7,0,0,3932000,252.0,800.0,0.0,484.0,4.0
3,5,725,0,725,1,1,4,0,0,3776220,0.0,630.0,0.0,320.0,1.0
7,5,840,880,1720,1,1,7,1,0,4016016,0.0,840.0,0.0,440.0,6.0
4,4,936,0,936,0,1,4,0,0,3814209,0.0,936.0,0.0,576.0,2.0
8,5,1589,0,1589,0,1,7,1,0,4012009,72.0,1406.0,1.0,630.0,4.0
6,7,799,772,1571,1,1,7,1,0,3974042,0.0,799.0,0.0,380.0,6.0
7,5,1479,0,1479,0,1,7,0,0,4012009,167.0,1453.0,1.0,558.0,6.0
5,7,784,848,1632,1,1,7,1,0,3876961,178.0,784.0,0.0,898.0,4.0
5,5,864,0,864,0,1,5,1,0,3861225,0.0,864.0,0.0,360.0,3.0
9,5,1476,1237,2713,1,1,11,1,0,4032064,268.0,1452.0,1.0,858.0,6.0
7,8,743,736,1479,0,1,6,2,0,3846222,0.0,624.0,1.0,312.0,3.0
7,5,1576,0,1576,0,1,7,1,0,4016016,24.0,1393.0,1.0,668.0,4.0
7,5,1479,0,1479,0,1,6,0,0,3998000,125.0,1468.0,0.0,577.0,6.0
5,7,916,144,1060,0,1,6,1,0,3838450,0.0,756.0,1.0,308.0,1.0
4,5,943,0,943,0,1,5,0,0,3904252,0.0,0.0,0.0,308.0,3.0
7,5,1377,806,2183,1,1,9,0,0,3952144,178.0,1204.0,0.0,786.0,8.0
7,5,1062,887,1949,1,1,8,1,0,3974042,246.0,1050.0,1.0,574.0,6.0
10,5,1824,0,1824,0,1,8,1,0,4026042,242.0,1824.0,0.0,932.0,6.0
6,5,1146,784,1930,0,1,8,0,0,3757650,0.0,720.0,1.0,316.0,8.0
10,5,1469,924,2393,1,1,7,1,0,3994002,0.0,970.0,1.0,846.0,4.0
5,8,1007,1007,2014,0,1,8,0,0,3809500,0.0,716.0,0.0,624.0,10.0
4,5,1242,0,1242,0,1,4,0,0,3794700,0.0,484.0,0.0,336.0,2.0
7,5,996,1004,2000,1,1,9,1,0,3974042,94.0,996.0,0.0,650.0,6.0
6,6,825,587,1412,0,1,6,1,0,3781050,0.0,780.0,0.0,280.0,4.0
5,7,990,0,990,0,1,5,0,0,3976036,0.0,990.0,1.0,440.0,3.0
5,6,1342,0,1342,0,1,7,0,0,3806401,0.0,1342.0,1.0,256.0,4.0
9,5,1868,0,1868,0,1,7,1,0,4020025,568.0,1868.0,1.0,1085.0,4.0
4,7,741,622,1363,0,1,6,0,0,3724500,0.0,622.0,0.0,528.0,3.0
6,6,1632,0,1632,0,1,6,1,0,3892504,183.0,1240.0,1.0,338.0,6.0
10,5,1728,568,2296,1,1,10,1,0,4032064,420.0,1722.0,1.0,842.0,6.0
5,5,1678,0,1678,0,2,10,0,0,3837681,74.0,1678.0,0.0,0.0,12.0
8,5,1296,0,1296,0,1,6,0,0,4006002,136.0,1267.0,1.0,471.0,4.0
6,6,1587,0,1587,0,1,7,1,0,3884841,302.0,1587.0,0.0,525.0,6.0
5,6,854,444,1298,0,1,6,2,0,3784950,0.0,720.0,0.0,256.0,3.0
5,5,1728,0,1728,0,2,10,0,0,3853369,336.0,1728.0,1.0,504.0,12.0
5,6,928,0,928,0,1,5,0,0,3829849,0.0,928.0,0.0,288.0,3.0
7,5,879,916,1795,1,1,7,0,0,4022030,0.0,879.0,0.0,578.0,6.0
6,7,1080,0,1080,0,1,5,0,0,3833764,135.0,1080.0,0.0,288.0,3.0
7,5,866,913,1779,1,1,6,0,0,3992004,0.0,866.0,0.0,546.0,6.0
6,8,1001,634,1635,0,1,5,0,0,3825730,0.0,485.0,0.0,255.0,2.0
7,5,1220,0,1220,0,1,6,0,0,4024036,84.0,1199.0,1.0,632.0,4.0
9,5,1310,0,1310,1,1,5,1,0,4004001,179.0,1310.0,1.0,545.0,1.0
5,7,808,547,1355,0,2,6,0,0,3878060,0.0,644.0,1.0,0.0,8.0
7,5,1166,1129,2295,1,1,9,1,0,3984000,0.0,1095.0,1.0,590.0,8.0
4,8,1156,642,1798,1,1,7,0,0,3705000,0.0,1075.0,0.0,342.0,8.0
7,7,1620,0,1620,0,1,8,1,450,3869089,0.0,1620.0,0.0,578.0,8.0
5,5,1216,0,1216,0,1,5,0,0,3822025,0.0,1216.0,1.0,336.0,3.0
5,4,896,448,1344,0,1,7,0,0,3775200,0.0,896.0,0.0,240.0,3.0
5,8,747,412,1159,0,1,5,0,0,3753750,0.0,747.0,0.0,288.0,3.0
4,4,1056,0,1056,0,1,5,0,0,3865156,0.0,1056.0,1.0,384.0,2.0
5,5,832,384,1216,0,1,6,0,0,3796650,0.0,832.0,0.0,336.0,2.0
6,7,950,208,1158,0,1,5,1,0,3761550,0.0,862.0,0.0,208.0,3.0
8,5,1538,0,1538,0,1,7,0,0,4020025,148.0,1538.0,1.0,484.0,6.0
5,5,1143,0,1143,0,1,6,0,0,3837681,150.0,1143.0,1.0,308.0,3.0
4,5,872,0,872,0,1,5,0,0,3884841,0.0,858.0,0.0,480.0,3.0
6,7,1035,371,1406,0,1,6,0,0,3744000,0.0,319.0,0.0,0.0,3.0
6,5,1324,0,1324,0,1,6,0,0,4020025,0.0,1324.0,0.0,430.0,6.0
5,7,904,0,904,0,1,6,0,0,3865156,41.0,876.0,0.0,408.0,3.0
7,9,1276,804,2080,1,1,9,2,0,3859704,0.0,1276.0,0.0,282.0,3.0
6,5,848,0,848,0,1,3,1,0,4016016,169.0,848.0,1.0,420.0,1.0
4,5,1104,684,1788,0,1,8,2,0,3892473,0.0,1104.0,1.0,304.0,5.0
6,6,1344,0,1344,0,1,7,1,0,3833764,541.0,819.0,0.0,525.0,3.0
5,3,1128,1128,2256,0,2,12,0,0,3724500,0.0,840.0,0.0,0.0,8.0
6,5,1164,896,2060,1,1,8,1,0,3954132,268.0,1151.0,0.0,521.0,8.0
6,5,1337,0,1337,0,1,5,0,0,3994002,0.0,1405.0,1.0,511.0,4.0
6,7,1165,0,1165,1,1,6,0,0,3865156,183.0,1127.0,1.0,490.0,3.0
5,6,1320,0,1320,0,1,6,2,0,3865156,97.0,1164.0,1.0,564.0,3.0
7,5,1535,0,1535,0,1,7,0,0,4016016,168.0,1517.0,0.0,532.0,6.0
7,6,1277,767,2044,1,1,7,1,0,3936240,280.0,738.0,0.0,489.0,6.0
4,7,624,512,1136,0,1,6,0,0,3761550,0.0,704.0,0.0,336.0,2.0
6,6,1299,0,1299,0,1,5,1,0,3916441,0.0,1001.0,1.0,486.0,4.0
8,5,764,677,1441,1,1,5,0,0,3998000,456.0,776.0,0.0,492.0,4.0
5,5,1630,0,1630,0,1,6,1,0,3814209,0.0,1073.0,0.0,649.0,6.0
7,7,832,809,1641,1,1,6,1,0,3830750,0.0,728.0,0.0,546.0,3.0
5,5,928,701,1629,1,1,6,1,0,3990006,0.0,928.0,0.0,482.0,6.0
6,5,848,0,848,0,1,4,0,0,4014012,170.0,848.0,1.0,420.0,1.0
6,8,816,0,816,0,1,5,0,0,3873510,0.0,816.0,0.0,432.0,2.0
5,5,1097,0,1097,1,1,6,0,0,3978030,0.0,1097.0,0.0,672.0,3.0
8,5,1652,0,1652,0,1,6,0,0,4000000,0.0,1494.0,1.0,499.0,4.0
4,5,1768,0,1768,0,2,8,0,0,3873024,0.0,1768.0,0.0,0.0,8.0
4,5,1152,0,1152,0,2,6,0,0,3822025,58.0,0.0,0.0,0.0,4.0
2,4,810,0,810,0,1,4,0,0,3724500,0.0,0.0,0.0,280.0,1.0
7,5,1358,0,1358,0,1,6,1,0,4030056,176.0,1350.0,1.0,484.0,4.0
6,5,1216,0,1216,0,1,5,0,0,3992004,116.0,1216.0,1.0,402.0,4.0
6,5,967,671,1638,0,1,6,0,0,3829849,327.0,967.0,0.0,384.0,8.0
7,5,624,628,1252,1,1,4,0,0,3998000,212.0,600.0,1.0,462.0,4.0
5,6,883,0,883,0,1,5,1,0,3970056,0.0,828.0,1.0,698.0,2.0
5,6,874,0,874,0,1,5,0,600,3873024,0.0,864.0,1.0,288.0,3.0
7,6,902,808,1710,0,1,9,0,0,3745950,0.0,576.0,0.0,480.0,6.0
8,5,1836,0,1836,0,1,8,1,0,4034072,288.0,1836.0,0.0,517.0,6.0
5,5,1092,0,1092,0,1,6,1,0,3829849,0.0,1092.0,1.0,299.0,2.0
7,5,1241,0,1241,1,1,4,0,0,4026042,0.0,1241.0,1.0,569.0,1.0
6,5,1334,0,1334,0,1,6,1,0,3908529,360.0,1350.0,0.0,630.0,4.0
6,6,1429,0,1429,0,1,7,2,0,3894520,85.0,1144.0,0.0,572.0,3.0
8,5,1566,0,1566,0,1,7,0,0,4032064,36.0,1566.0,1.0,750.0,6.0
7,7,1316,972,2288,2,1,8,2,0,3938184,283.0,908.0,0.0,520.0,4.0
9,5,1709,0,1709,0,1,5,1,0,3998000,60.0,1698.0,1.0,506.0,4.0
8,5,1721,0,1721,0,1,7,0,0,4020025,210.0,1721.0,1.0,554.0,6.0
8,5,1254,0,1254,0,1,5,0,0,4032064,140.0,1254.0,1.0,810.0,4.0
